Date,USD
2019-10-18,389.94
2019-10-19,389.98
2019-10-20,389.98
2019-10-21,389.98
2019-10-22,389.86
2019-10-23,389.75
2019-10-24,388.96
2019-10-25,388.93
2019-10-26,388.92
2019-10-27,388.92
2019-10-28,388.92
2019-10-29,387.98
2019-10-30,387.92
2019-10-31,388.54
2019-11-01,388.67
2019-11-02,389.46
2019-11-03,389.46
2019-11-04,389.46
2019-11-05,388.19
2019-11-06,388.39
2019-11-07,388.86
2019-11-08,389.04
2019-11-09,388.29
2019-11-10,388.29
2019-11-11,388.29
2019-11-12,388.7
2019-11-13,388.81
2019-11-14,389.34
2019-11-15,388.49
2019-11-16,388.07
2019-11-17,388.07
2019-11-18,388.07
2019-11-19,387.14
2019-11-20,387.16
2019-11-21,387.37
2019-11-22,386.44
2019-11-23,385.01
2019-11-24,385.01
2019-11-25,385.01
2019-11-26,386.21
2019-11-27,386.49
2019-11-28,386.19
2019-11-29,386.31
2019-11-30,386.35
2019-12-01,386.35
2019-12-02,386.35
2019-12-03,386.35
2019-12-04,387.07
2019-12-05,387.48
2019-12-06,385.76
2019-12-07,384.97
2019-12-08,384.97
2019-12-09,384.97
2019-12-10,385.55
2019-12-11,386.19
2019-12-12,386.3
2019-12-13,384.63
2019-12-14,383.95
2019-12-15,383.95
2019-12-16,383.95
2019-12-17,383.95
2019-12-18,383.95
2019-12-19,384.4
2019-12-20,384.46
2019-12-21,382.99
2019-12-22,382.99
2019-12-23,382.99
2019-12-24,382.65
2019-12-25,381.56
2019-12-26,378.6
2019-12-27,378.79
2019-12-28,380.44
2019-12-29,380.44
2019-12-30,380.44
2019-12-31,381.18
2020-01-01,382.59
2020-01-02,382.59
2020-01-03,382.59
2020-01-04,382.59
2020-01-05,382.59
2020-01-06,382.14
2020-01-07,381.2
2020-01-08,381.2
2020-01-09,378.21
2020-01-10,376.5
2020-01-11,377.46
2020-01-12,377.46
2020-01-13,377.46
2020-01-14,378.06
2020-01-15,379.34
2020-01-16,379.7
2020-01-17,377.75
2020-01-18,376.51
2020-01-19,376.51
2020-01-20,376.51
2020-01-21,375.91
2020-01-22,376.42
2020-01-23,377.29
2020-01-24,377.86
2020-01-25,378.6
2020-01-26,378.6
2020-01-27,378.6
2020-01-28,380.19
2020-01-29,380.84
2020-01-30,378.86
2020-01-31,378.8
2020-02-01,379.02
2020-02-02,379.02
2020-02-03,379.02
2020-02-04,380.65
2020-02-05,379.53
2020-02-06,378.49
2020-02-07,377.56
2020-02-08,378.31
2020-02-09,378.31
2020-02-10,378.31
2020-02-11,379.04
2020-02-12,378.19
2020-02-13,376.2
2020-02-14,376.4
2020-02-15,377.19
2020-02-16,377.19
2020-02-17,377.19
2020-02-18,376.77
2020-02-19,376.84
2020-02-20,377.09
2020-02-21,376.16
2020-02-22,375.87
2020-02-23,375.87
2020-02-24,375.87
2020-02-25,376.43
2020-02-26,376.72
2020-02-27,378.36
2020-02-28,379.75
2020-02-29,381.1
2020-03-01,381.1
2020-03-02,381.1
2020-03-03,381.23
2020-03-04,380.26
2020-03-05,379.45
2020-03-06,380.53
2020-03-07,382.05
2020-03-08,382.05
2020-03-09,382.05
2020-03-10,382.05
